"transactTime","symbol","execType","side","lastQty","lastPx","execCost","commission","execComm","ordType","orderQty","leavesQty","price","text","orderID"
"12/11/2019, 4:10:41 AM","XBTUSD","Trade","Buy","500","7272.18","-6875500","0.00075","5156","StopLimit","500","0","7272.18","Liquidation","00000000-0000-0000-0000-000000000000"
"12/11/2019, 4:00:00 AM","XBTUSD","Funding","","500","7223","6922500","0.000007","48","Limit","500","0","7223","Funding","00000000-0000-0000-0000-000000000000"
"12/11/2019, 2:37:23 AM","XBTUSD","Trade","Sell","500","7199.5","6945000","-0.00025","-1736","Limit","500","0","7199.5","Submission from www.bitmex.com","20ea5947-7b16-017f-bee8-a8cf8cb58cf3"
"12/5/2019, 12:33:50 PM","XBTUSD","Trade","Sell","3494","7366","47434544","-0.00025","-11858","Limit","3500","0","7366","Submission from www.bitmex.com","64c2eb94-503d-d090-643e-51b917e8e9e3"
"12/5/2019, 12:33:49 PM","XBTUSD","Trade","Sell","1","7366","13576","-0.00025","-3","Limit","3500","3494","7366","Submission from www.bitmex.com","64c2eb94-503d-d090-643e-51b917e8e9e3"
"12/5/2019, 12:33:49 PM","XBTUSD","Trade","Sell","1","7366","13576","-0.00025","-3","Limit","3500","3495","7366","Submission from www.bitmex.com","64c2eb94-503d-d090-643e-51b917e8e9e3"
"12/5/2019, 12:33:48 PM","XBTUSD","Trade","Sell","1","7366","13576","-0.00025","-3","Limit","3500","3496","7366","Submission from www.bitmex.com","64c2eb94-503d-d090-643e-51b917e8e9e3"
"12/5/2019, 12:33:48 PM","XBTUSD","Trade","Sell","1","7366","13576","-0.00025","-3","Limit","3500","3497","7366","Submission from www.bitmex.com","64c2eb94-503d-d090-643e-51b917e8e9e3"
"12/5/2019, 12:33:47 PM","XBTUSD","Trade","Sell","1","7366","13576","-0.00025","-3","Limit","3500","3498","7366","Submission from www.bitmex.com","64c2eb94-503d-d090-643e-51b917e8e9e3"
"12/5/2019, 12:33:46 PM","XBTUSD","Trade","Sell","1","7366","13576","-0.00025","-3","Limit","3500","3499","7366","Submission from www.bitmex.com","64c2eb94-503d-d090-643e-51b917e8e9e3"
"12/5/2019, 12:00:00 PM","XBTUSD","Funding","","3500","7382.5","-47411000","-0.000103","-4883","Limit","3500","0","7382.5","Funding","00000000-0000-0000-0000-000000000000"
"12/5/2019, 9:03:37 AM","XBTUSD","Trade","Buy","250","7250","-3448250","-0.00025","-862","Limit","250","0","7250","Submission from www.bitmex.com","9751ba15-f0f5-e4e9-6891-c53a0c24bd6e"
"12/5/2019, 4:00:00 AM","XBTUSD","Funding","","3250","7370.7","-44092750","-0.00039","-17196","Limit","3250","0","7370.7","Funding","00000000-0000-0000-0000-000000000000"
"12/4/2019, 11:07:23 PM","XBTUSD","Trade","Buy","250","7275","-3436500","-0.00025","-859","Limit","250","0","7275","Submission from www.bitmex.com","3b2e1ca2-379f-617f-e2d7-3b2a5a6e0eca"
"12/4/2019, 10:04:35 PM","XBTUSD","Trade","Buy","250","7300","-3424750","-0.00025","-856","Limit","250","0","7300","Submission from www.bitmex.com","c3603e46-10c8-75d4-93ff-9c1be246d58a"
"12/4/2019, 9:37:46 PM","XBTUSD","Trade","Buy","2000","7315","-27342000","-0.00025","-6835","Limit","2000","0","7315","Submission from www.bitmex.com","5cad8670-5790-e9b5-cd14-0aecb5b5b7d6"
"12/4/2019, 8:44:06 PM","XBTUSD","Trade","Buy","250","7150","-3496500","-0.00025","-874","Limit","250","0","7150","Submission from www.bitmex.com","57994bc7-84db-f01f-5ddb-dc895a37405d"
"12/4/2019, 8:00:00 PM","XBTUSD","Funding","","500","7220.76","-6924500","0.00003","208","Limit","500","0","7220.76","Funding","00000000-0000-0000-0000-000000000000"
"12/4/2019, 7:03:56 PM","XBTUSD","Trade","Buy","250","7175","-3484250","-0.00025","-871","Limit","250","0","7175","Submission from www.bitmex.com","b6d26a19-bfc6-5660-8f8f-9cf1462d530f"
"12/4/2019, 6:55:01 PM","XBTUSD","Trade","Buy","250","7200","-3472250","-0.00025","-868","Limit","250","0","7200","Submission from www.bitmex.com","960144f7-f386-e7b7-5f9e-3ae9c09c87b0"
"11/29/2019, 8:55:01 PM","XBTUSD","Trade","Buy","100","7736.5","-1292600","-0.00025","-323","Limit","100","0","7736.5","Submission from www.bitmex.com","9d16b55b-9400-3be8-76ac-eea308299e9f"
"11/29/2019, 8:49:26 PM","XBTUSD","Trade","Buy","100","7743.5","-1291400","-0.00025","-322","Limit","100","0","7743.5","Submission from www.bitmex.com","cd98472c-66e1-a41f-d77d-3e53185b4716"
"11/29/2019, 8:49:26 PM","XBTUSD","Trade","Buy","100","7744","-1291300","-0.00025","-322","Limit","100","0","7744","Submission from www.bitmex.com","f9ba7e2d-8ea0-12ad-ba33-0b36393224bc"
"11/29/2019, 8:00:00 PM","XBTUSD","Funding","","300","7748.03","3872100","-0.0001","-387","Limit","300","0","7748.03","Funding","00000000-0000-0000-0000-000000000000"
"11/29/2019, 4:38:46 PM","XBTUSD","Trade","Sell","100","7775","1286200","-0.00025","-321","Limit","100","0","7775","Submission from www.bitmex.com","47dedcfb-b4ed-2d8e-4cbd-882e0931fce5"
"11/29/2019, 3:29:27 PM","XBTUSD","Trade","Sell","100","7750","1290300","-0.00025","-322","Limit","100","0","7750","Submission from www.bitmex.com","d08205af-5ae6-e6f0-0dbc-109154917407"
"11/29/2019, 3:26:49 PM","XBTUSD","Trade","Sell","100","7736","1292700","-0.00025","-323","Limit","100","0","7736","Submission from www.bitmex.com","985f595e-cc85-3ac9-01b2-025e0f0b5520"
