date,execID,orderID,clOrdID,clOrdLinkID,account,symbol,side,lastQty,lastPx,underlyingLastPx,lastMkt,lastLiquidityInd,simpleOrderQty,orderQty,price,displayQty,stopPx,pegOffsetValue,pegPriceType,currency,settlCurrency,execType,ordType,timeInForce,execInst,contingencyType,exDestination,ordStatus,triggered,workingIndicator,ordRejReason,simpleLeavesQty,leavesQty,simpleCumQty,cumQty,avgPx,commission,tradePublishIndicator,multiLegReportingType,text,trdMatchID,execCost,execComm,homeNotional,foreignNotional,transactTime,timestamp
2018-11-01,146ad652-8ab4-3688-4244-e06c3692b6f4,33ebe880-d682-eb8a-79a7-1a73bf8f0724,,,779028,XBTUSD,Buy,1,6319.5,,XBME,RemovedLiquidity,,1,6319.5,,,,,USD,XBt,Trade,Limit,GoodTillCancel,,,XBME,Filled,,0,,,0,,1,6319.5,0.00075,PublishTrade,SingleSecurity,Submission from www.bitmex.com,3ab41a6d-7e50-e68d-e0cc-e1d01b5c548c,-15824,11,0.00015824,-1,2018-11-01D19:57:32.162851000,2018-11-01D19:57:32.162851000
2018-11-01,574f3ab8-65cd-4d3c-5ae3-817389e0ed11,00000000-0000-0000-0000-000000000000,,,779028,XBTUSD,,1,6320.2,,XBME,,,1,6320.2,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,0,,,0,,1,6320.2,0.0001,,SingleSecurity,Funding,602203dc-0e1c-9a13-d1a1-462604bfc51d,-15822,2,0.00015822,-1,2018-11-01D20:00:00.000000000,2018-11-01D20:00:00.003205000
2018-11-01,b8682850-e428-deb8-033c-45e02b9e9534,eca44950-b346-9153-3c37-c3032bbe1f6a,,,779028,XBTUSD,Sell,1,6327,,XBME,RemovedLiquidity,,1,6327,,,,,USD,XBt,Trade,Limit,GoodTillCancel,ReduceOnly,,XBME,Filled,,0,,,0,,1,6327,0.00075,PublishTrade,SingleSecurity,Submission from www.bitmex.com,7511bb56-4bb6-f01a-3b7e-5d3d81c6578a,15805,11,-0.00015805,1,2018-11-01D20:47:40.533511000,2018-11-01D20:47:40.533511000
2018-11-01,d80df92e-2f80-1fa0-7dec-36374438795f,3e12bb70-25c4-1fb6-926e-4e627fafba98,,,779028,XBTUSD,Buy,1000,6334.5,,XBME,RemovedLiquidity,,1000,6334.5,,,,,USD,XBt,Trade,Limit,GoodTillCancel,,,XBME,Filled,,0,,,0,,1000,6334.5,0.00075,PublishTrade,SingleSecurity,Submission from www.bitmex.com,1c860f6a-95b2-f23b-65b1-16f29c3ed6cc,-15787000,11840,0.15787,-1000,2018-11-01D21:02:06.230856000,2018-11-01D21:02:06.230856000
2018-11-01,67597732-6642-c2bb-6ebc-093f9c089b54,be6afa27-d793-cc0c-811a-3916ebb69934,,,779028,XBTUSD,Sell,1000,6369,,XBME,AddedLiquidity,,1000,6369,,,,,USD,XBt,Trade,Limit,GoodTillCancel,,,XBME,Filled,,0,,,0,,1000,6369,-0.00025,PublishTrade,SingleSecurity,Submission from www.bitmex.com,87cfc516-c1f0-009e-4f3b-d8dad064b89b,15701000,-3925,-0.15701,1000,2018-11-01D21:54:17.653532000,2018-11-01D21:54:17.653532000
2018-11-05,ba6df901-fc33-963b-e344-a3d137a777cd,743d206b-2ef6-cb49-4093-b1b09dc73932,,,779028,XBTUSD,Buy,1000,6425,,XBME,RemovedLiquidity,,1000,6425,,,,,USD,XBt,Trade,Limit,GoodTillCancel,,,XBME,Filled,,0,,,0,,1000,6425,0.00075,PublishTrade,SingleSecurity,Submission from www.bitmex.com,2ca37f36-4549-5026-61f0-8ed56fb8da8c,-15564000,11673,0.15564,-1000,2018-11-05D02:40:33.208950000,2018-11-05D02:40:33.208950000
2018-11-05,99a28688-3cd9-1cd4-6877-7f0c2afcbe07,32b7f9e8-6e08-e813-b1e8-942da01feffc,,,779028,XBTUSD,Sell,1000,6421,,XBME,RemovedLiquidity,,1000,6421,,6421.5,,,USD,XBt,Trade,Stop,ImmediateOrCancel,"Close,LastPrice",,XBME,Filled,StopOrderTriggered,0,,,0,,1000,6421,0.00075,PublishTrade,SingleSecurity,Triggered: Order stop price reached;Submission from www.bitmex.com,2a06dedd-f884-f954-315f-4967d549e09c,15574000,11680,-0.15574,1000,2018-11-05D03:53:48.953240000,2018-11-05D03:53:48.953240000
2018-11-06,96d203f4-10d7-9812-d6ce-fea9f161aba3,6b736de0-4b6f-bba7-2369-4c7a818bca47,,,779028,XBTUSD,Buy,724,6426.5,,XBME,RemovedLiquidity,,1000,6426.5,,,,,USD,XBt,Trade,Limit,GoodTillCancel,,,XBME,PartiallyFilled,,1,,,276,,724,6426.5,0.00075,PublishTrade,SingleSecurity,Submission from www.bitmex.com,1c4bcc42-a43a-b072-e13f-de2f6b8cc0c2,-11266164,8449,0.1126616,-724,2018-11-06D08:38:06.897932000,2018-11-06D08:38:06.897932000
2018-11-06,e1efb5a5-96a1-b8f0-c2c4-f19801b5a3d2,6b736de0-4b6f-bba7-2369-4c7a818bca47,,,779028,XBTUSD,Buy,30,6426.5,,XBME,RemovedLiquidity,,1000,6426.5,,,,,USD,XBt,Trade,Limit,GoodTillCancel,,,XBME,PartiallyFilled,,1,,,246,,754,6426.5,0.00075,PublishTrade,SingleSecurity,Submission from www.bitmex.com,fb34c0fb-0157-9baf-dd84-96c4f50a9564,-466830,350,0.0046683,-30,2018-11-06D08:38:06.897932000,2018-11-06D08:38:06.897932000
2018-11-06,3e6362b1-d931-540b-1205-8449518f886d,6b736de0-4b6f-bba7-2369-4c7a818bca47,,,779028,XBTUSD,Buy,150,6426.5,,XBME,RemovedLiquidity,,1000,6426.5,,,,,USD,XBt,Trade,Limit,GoodTillCancel,,,XBME,PartiallyFilled,,1,,,96,,904,6426.5,0.00075,PublishTrade,SingleSecurity,Submission from www.bitmex.com,0e8f0280-628b-8fd9-ea81-dcf368bbf53f,-2334150,1750,0.0233415,-150,2018-11-06D08:38:06.897932000,2018-11-06D08:38:06.897932000
