date,execID,orderID,clOrdID,clOrdLinkID,account,symbol,side,lastQty,lastPx,underlyingLastPx,lastMkt,lastLiquidityInd,simpleOrderQty,orderQty,price,displayQty,stopPx,pegOffsetValue,pegPriceType,currency,settlCurrency,execType,ordType,timeInForce,execInst,contingencyType,exDestination,ordStatus,triggered,workingIndicator,ordRejReason,simpleLeavesQty,leavesQty,simpleCumQty,cumQty,avgPx,commission,tradePublishIndicator,multiLegReportingType,text,trdMatchID,execCost,execComm,homeNotional,foreignNotional,transactTime,timestamp
2019-04-04,db2ff102-e70c-b2e9-553f-aafb1b0c8d5c,ffdc464b-43de-c461-a203-da83acab90eb,,,979353,XBTUSD,Buy,12000,4916.5,,XBME,RemovedLiquidity,,12000,4917,,,,,USD,XBt,Trade,Limit,GoodTillCancel,,,XBME,Filled,,0,,,0,,12000,4916.5,0.00075,PublishTrade,SingleSecurity,Submission from www.bitmex.com,0aedf86b-caef-87ed-3a6c-4699fcefb3c3,-244080000,183060,2.4408,-12000,2019-04-04D23:12:35.654276000,2019-04-04D23:12:35.654276000
2019-04-05,26880fc8-7d07-84a6-75aa-fefc9e441c02,00000000-0000-0000-0000-000000000000,,,979353,XBTUSD,,12000,4892.67,,XBME,,,12000,4892.67,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,0,,,0,,12000,4892.67,0.000192,,SingleSecurity,Funding,4fa47ead-092d-cf2b-f1b5-c5c9aecd83aa,-245268000,47091,2.45268,-12000,2019-04-05D04:00:00.000000000,2019-04-05D04:00:00.002415000
2019-04-05,2572be09-39ca-1f5e-29e7-36105aaa3e3b,00000000-0000-0000-0000-000000000000,,,979353,XBTUSD,,12000,5002.89,,XBME,,,12000,5002.89,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,0,,,0,,12000,5002.89,0.000239,,SingleSecurity,Funding,38b87a77-bff8-c6a6-4828-9b0ad28aa7e7,-239856000,57326,2.39856,-12000,2019-04-05D12:00:00.000000000,2019-04-05D12:00:00.986837000
2019-04-05,32ca3491-6b10-31cf-f99a-01dd528849aa,00000000-0000-0000-0000-000000000000,,,979353,XBTUSD,,12000,5016.42,,XBME,,,12000,5016.42,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,0,,,0,,12000,5016.42,0.0001,,SingleSecurity,Funding,5d366fc8-28ac-06f0-6ecb-8643a8d55c99,-239220000,23922,2.3922,-12000,2019-04-05D20:00:00.000000000,2019-04-05D20:00:00.002014000
2019-04-06,549fefb4-9cd5-caeb-8294-eabb4b2ffc37,00000000-0000-0000-0000-000000000000,,,979353,XBTUSD,,12000,5003.25,,XBME,,,12000,5003.25,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,0,,,0,,12000,5003.25,0.0001,,SingleSecurity,Funding,9d5f88d6-d1f9-56aa-9251-4ab63dae70c4,-239844000,23984,2.39844,-12000,2019-04-06D04:00:00.000000000,2019-04-06D04:00:00.002177000
2019-04-06,a2b4ce96-83df-73c2-8cdc-3cc623714c7c,b5b7839d-9d23-8b4f-8541-dd2858e1843f,,,979353,XBTUSD,Sell,2000,4978,,XBME,RemovedLiquidity,,2000,4977.5,,,,,USD,XBt,Trade,Limit,GoodTillCancel,,,XBME,Filled,,0,,,0,,2000,4978,0.00075,PublishTrade,SingleSecurity,Submission from www.bitmex.com,d171d5ff-67c2-48c6-7209-d863055572e3,40176000,30132,-0.40176,2000,2019-04-06D08:41:48.135744000,2019-04-06D08:41:48.135744000
2019-04-06,ece3a813-0ffd-4a9e-496d-709751623a76,00000000-0000-0000-0000-000000000000,,,979353,XBTUSD,,10000,5000.66,,XBME,,,10000,5000.66,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,0,,,0,,10000,5000.66,0.0001,,SingleSecurity,Funding,585b0578-8ea6-505b-76f9-84b79e66a6b8,-199970000,19997,1.9997,-10000,2019-04-06D12:00:00.000000000,2019-04-06D12:00:00.978423000
2019-04-06,6704b6d6-76bc-aabc-152a-d87a5318054d,00000000-0000-0000-0000-000000000000,,,979353,XBTUSD,,10000,5161.87,,XBME,,,10000,5161.87,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,0,,,0,,10000,5161.87,0.0001,,SingleSecurity,Funding,16761d85-6825-ca64-ef40-f141f6aeb4d4,-193730000,19373,1.9373,-10000,2019-04-06D20:00:00.000000000,2019-04-06D20:00:00.005992000
2019-04-06,ac12b3c0-8704-e3cc-5159-ce258e1012d5,ab1ce27d-82e5-bf44-7f4c-5ae9b9e0b17c,,,979353,XBTUSD,Buy,2000,5040,,XBME,AddedLiquidity,,2000,5040,,,,,USD,XBt,Trade,Limit,GoodTillCancel,,,XBME,Filled,,0,,,0,,2000,5040,-0.00025,PublishTrade,SingleSecurity,Submission from www.bitmex.com,060ef3ed-4517-7660-6a27-a07684530ade,-39682000,-9920,0.39682,-2000,2019-04-06D22:19:46.815268000,2019-04-06D22:19:46.815268000
2019-04-06,e35d93f7-f782-f2a7-f990-ea8dc887b733,b7bd2488-4d56-fc7f-2b3a-288b24079adb,,,979353,XBTUSD,Sell,52,5044.5,,XBME,RemovedLiquidity,,2000,5044.5,,,,,USD,XBt,Trade,Limit,GoodTillCancel,,,XBME,PartiallyFilled,,1,,,1948,,52,5044.5,0.00075,PublishTrade,SingleSecurity,Submission from www.bitmex.com,f528450b-06d0-e4db-1fb1-df76d20c81ad,1030848,773,-0.01030848,52,2019-04-06D22:20:37.407563000,2019-04-06D22:20:37.407563000
